Task ID,Completed,golden_action,instruction,token_total,failure_reason,actual_actions,golden_actions_count,actual_actions_count
virtualhome00000,null,SwitchOn(tv) | Done,open the tv,,No result JSON produced,,2,
virtualhome00001,null,,,,,,,
virtualhome00002,null,,,,,,,
virtualhome00003,null,,,,,,,
virtualhome00005,null,,,,,,,
virtualhome00006,null,,,,,,,
virtualhome00007,null,,,,,,,
virtualhome00008,null,,,,,,,
virtualhome00009,null,,,,,,,
virtualhome00010,null,,,,,,,
virtualhome00011,null,,,,,,,
virtualhome00012,null,,,,,,,
virtualhome00013,null,,,,,,,
virtualhome00014,null,,,,,,,
virtualhome00015,null,,,,,,,
virtualhome00017,null,,,,,,,
virtualhome00018,null,,,,,,,
virtualhome00019,null,,,,,,,
virtualhome00020,null,,,,,,,
virtualhome00100,null,,,,,,,
virtualhome00101,null,,,,,,,
virtualhome00102,null,,,,,,,
virtualhome00103,null,,,,,,,
virtualhome00104,null,,,,,,,
virtualhome00105,null,,,,,,,
virtualhome00107,null,,,,,,,
virtualhome00108,null,,,,,,,
virtualhome00109,null,,,,,,,
virtualhome00110,null,,,,,,,
virtualhome00111,null,,,,,,,
virtualhome00112,null,,,,,,,
virtualhome00113,null,,,,,,,
virtualhome00114,null,,,,,,,
virtualhome00115,null,,,,,,,
virtualhome00116,null,,,,,,,
virtualhome00117,null,,,,,,,
virtualhome00118,null,,,,,,,
virtualhome00119,null,,,,,,,
